Section;Parameter;Value;Uncertainty;Unit;Description
General;Nuclide;S-35;;-;Radionuclide name
General;Reference Date;2025-11-25 12:00:00;;-;Reference date
General;Measurement Date;2025-12-09 16:41:00;;-;Date of measurement
General;Half-life (T1/2);7538000.0;13000.0;days;Half-life
Source;Laboratory;LAB;;-;Provider of the standard solution
Source;Source Name;AB1;;-;Name of the source
Source;LS Cocktail;Ultima Gold AB;;-;Liquid scintillation cocktail
Source;Aqueous Fraction;0.0116358;;rel;Aqueous fraction in scintillator
Source;Grey Filter ND;0;;-;Neutral density grey filter
Source;Diffusive Vial;True;;-;Diffusive vial used
Source;Solvent;HCl;;-;Solvent type
Source;Solvent Concentration;0.1;;mol/L;Solvent concentration in scintillator
Source;Mass;0.174537;5e-06;g;Source mass
Source;Volume;15;;mL;Scintillator volume
DAQ;Device;nanoTDCR;;-;DAQ Device Name
DAQ;Measurement Time;7200.0;;s;Duration
DAQ;Dead Time (Extended);10.0;;us;Extended dead time
DAQ;Coincidence Window;50;;ns;Coincidence window
Rates;Singles Raw (A);4802.5639;2.3366296011349306;s-1;Raw singles count rate (A)
Rates;Singles Raw (B);4821.968699999999;2.46353478158925;s-1;Raw singles count rate (B)
Rates;Singles Raw (C);4813.3813;2.390052996086064;s-1;Raw singles count rate (C)
Rates;Doubles Raw (AB);4491.2587;0.16458475658457378;s-1;Raw doubles count rate (AB)
Rates;Doubles Raw (BC);4494.1536;0.15758446750869365;s-1;Raw doubles count rate (BC)
Rates;Doubles Raw (AC);4491.5752;0.16747855265675718;s-1;Raw doubles count rate (AC)
Rates;Doubles Raw (D);4612.493251516969;0.1649203960193521;s-1;Raw doubles count rate
Rates;Triples Raw (T);4431.928272036843;0.16821210812101667;s-1;Raw triples count rate
Rates;Doubles Net (D-D0);4608.681703889082;0.2825741694850269;s-1;Background corrected doubles
Rates;Triples Net (T-T0);4429.461436344576;0.20346861180739162;s-1;Background corrected triples
Rates;TDCR;0.9608530733644738;0.00012507400343371474;-;Triple to Double Coincidence Ratio
